Category,Unique Item List,Supply,Rarity Tier,IP Concern,IconName,Title,Description
Clothes,Coat,120,Common,,coat.png,The Inventory Jacket,Has pockets. So many pockets. Nobody knows what's in them. Possibly everything. Possibly nothing. The jacket knows.
Clothes,Dutch White Robe,68,Uncommon,,dutchwhiterobe.png,Edam If You Do,Slowly regenerates health when near a cheese wheel. Requires frequent washing.
Clothes,Fur Coat,66,Uncommon,,furcoat.png,PETA's Public Enemy,+15 to 'Cold Resistance' and 'Luxury'. Attracts environmentalists and fashion critics.
Clothes,Golden Jacket,40,Rare,,goldenjacket.png,The Trophy Drip,+50 to 'Audacity.' Impossible to ignore. Impossible to compliment sincerely. Screams 'I won something once.' The jacket IS the personality.
Clothes,Gray Shirt,208,Common,,grayshirt.png,"The 50 Shades of ""Meh""",+0 to everything. The color of giving up. The shade of surrender. Visual representation of meh.
Clothes,Grey Zipper Hoodie,143,Common,,grayzipperhoodie.png,Neckbeard's Natural Habitat,+10 to 'Mountain Dew Resistance.' Never washed. Never will be. Crusty with Dorito dust.
Clothes,Jedi Robe,82,Uncommon,Yes,jedirobe.png,The Robe Awakens,The Force is strong with this one. Can sense disturbances in the blockchain. Dry clean only — which is why it's never been dry cleaned.
Clothes,Ken's Jacket,85,Uncommon,Yes,kensjacket.png,Dreamhouse Owner,"Just Ken. That's it. No horse. No Barbie. Just vibes, this jacket, and a persistent sense that he's in the background of someone else's story."
Clothes,Light Brown Fash Hoodie,107,Common,,lightbrownfashion.png,The Perpetual Pre-Workout,Reduces 'Fatigue' debuff. Perfect for late-night questing or cramming for exams. Has never been worn outside.
Clothes,None,723,Common,,,The Unencumbered,Agility +15 and 'Swim Speed' +20 (no water resistance). -50 'Social Acceptance.' You have chosen to face the world as you entered it: screaming and with zero defense. Aggros all city guards.
Clothes,Normal Jacket,239,Common,,normaljacket.png,"""I'm Not Cold, You're Cold""",Nobody knows what's actually happening underneath all that polyester and fluff.
Clothes,Normal Soldier Outfit,84,Uncommon,,normalsoldier.png,Cannon Fodder,"Statistically speaking, you are background character #4. Do not engage the main villain. Do not form emotional bonds. Your role is to fall first."
Clothes,Pepe Shirt,45,Rare,Yes,pepeshirt.png,The Based Signal,Periodically causes nearby NPCs to emit a 'kek' sound. Wearing this either makes you Based™ or unemployable. No middle ground exists.
Clothes,Purple Bomber,73,Uncommon,,purplebomber.png,The Grape Ape Jacket,"Grants the ability to summon a rain of purple. Also attracts royalty, bruises, and people who say 'purple is actually a rare color in nature.'"
Clothes,Red Shirt,84,Uncommon,,redshirt.png,The Expendable,"If you've seen any sci-fi, you know exactly what this means. -100 to 'Survival Probability.' The universe has already decided. You just haven't been informed yet."
Clothes,Roman Kind Robe,40,Rare,,romankindrobe.png,Emperor's Gown,+10 to 'Oratory' and 'Leadership' when addressing crowds. Requires careful draping.
Clothes,Suit,23,Epic,,suit.png,Ponzi Scheme Attire,+25 to 'LinkedIn Engagement.' Grants ability to convince people your NFT project has 'utility.' Comes pre-stained with cocaine and regret.
Clothes,Swat Armour,14,Epic,,swatarmor.png,Overcorrection Gear,"Technically overkill. Practically speaking, same. Full tactical loadout for a man who has never once been in a tactical situation. The Discord mods are not a threat."
Clothes,Tank Top,189,Common,,tanktop.png,Bicep Billboard,"Arms: visible. Sunscreen: optional. Opinions: loud. Can be found at any gym, barbecue, or venue with a two-drink minimum. Fights optional but likely."
Clothes,Thug Jacket,95,Uncommon,,thugjacket.png,Business Casual (Other Business),Nobody asks questions. Nobody makes eye contact. +20 to 'Plausible Deniability.' Pockets: many. Contents: undisclosed. Warranty: void.
Clothes,Warm Coat,132,Common,,warmcoat.png,"The ""I Can't Find My Sleeves"" Coat",Technically a coat. Functionally a blanket with aspirations. Perfect for people who gave up halfway through getting dressed and called it fashion.
Clothes,White Puffer Jacket,103,Common,,whitepuffer.png,Snowman Simulator Suit,+15 to 'Arctic Appropriateness.' Camouflages you in snow. And cocaine.
Clothes,White Striped Shirt,110,Common,,whitestripedshirt.png,The Prison-Break Casual,Either fashion-forward or recently paroled. No context clues provided. The stripes are doing a lot of work here. Background check: pending.
Clothes,Winter Soldier,117,Common,,wintersoldier.png,"Arm Day, Every Day",Left arm is a weapon. Right arm is jealous. Wipes memory between sets. Still won't skip leg day. The conditioning is complete. The trauma is a feature.
Clothes,Woolen Shirt,55,Uncommon,,woolenshirt.png,Itchy Investment Garment,+10 to 'Rustic Cosplay.' Smells like wet dog. Attracts sheep and sustainability influencers. Comfort level: Punishment.
Clothes,Yellow Raincoat,15,Epic,,yellowraincoat.png,Puddle Jumper,Immune to 'Wet' debuff. Increases 'Splash Attack' damage.
Clothes,Yellow Running Jacket,18,Epic,,yellowrunning.png,Sprinter's Speedy Shell,+20 to 'Running Away.' High visibility means everyone watches you flee. Can't hide. Can't fight. Can run though.
Clothes,Yellow Shirt,14,Epic,,yellowshirt.png,High Visibility Liability,+40 to 'Being Spotted.' Perfect for getting sniped first in every engagement. Stealth missions are not your calling.
Eyes,Demon Eye,24,Epic,,demoneyes.png,The Red Flag Detector,"Sees through deception, half-truths, and motivational posters. Cannot be deceived. Cannot be charmed. Has heard every pitch. Is not impressed."
Eyes,Happy Eyes,322,Common,,happyeyes.png,"The ""Everything is Fine"" Filter",Passive ability: ignores all red flags. Cannot read the room. Grants +30 to 'Delusion' and a permanent sense that this time it'll be different.
Eyes,No Sleep,278,Common,,nosleep.png,Adderall's Aftermath,"+30 to 'Productivity,' -50 to 'Sanity.' Powered by prescription abuse and poor choices. Heart rate: Concerning. Parents: Disappointed."
Eyes,Normal Eyes,1016,Common,,normaleyes.png,The Standard Gaze,Two eyes. Standard configuration. Nothing suspicious here. Blinks at regular intervals. TOTALLY normal. Please do not investigate further.
Eyes,One Eye,27,Rare,,oneeye.png,Cyclops or birth defect?,-50% 'Depth Perception.' +40 'Intimidation.' Either a tragic origin story or a genetic quirk. The patch costs extra. The eye does not.
Eyes,Sleepy Eyes,264,Common,,sleepyeyes.png,The 1% Battery Indicators,"+10 to 'Relatability,' -20 to 'Productivity.' Powered by caffeine and capitalism. Sleep schedule: Fictional. Will: Broken."
Eyes,Small Eyes,321,Common,,smalleyes.png,Pinpricks of Judgment,"+10 to 'Skepticism,' +5 to 'Unimpressed Glaring.' Used by teachers and tired parents to convey silent disappointment across great distances."
Eyes,Sus Eyes,275,Common,,suseyes.png,"The ""HMMM"" High-Beams","The suspicious glare you give when the ""math isn't mathing."""
Eyes,T800,252,Common,Yes,t800.png,I'll Be Back,"Cannot be stopped. Cannot be reasoned with. Absolutely will not negotiate. Here to terminate your floor price. Hasta la vista, liquidity."
Eyes,Wtf Eyes,492,Common,,wtfeyes.png,"""Wait, What?""",Permanent state of mild horror. Has seen too much. Processes 20% less than average. Still somehow surprised every single time.
Eyewear,3D Glass,73,Uncommon,,3dglass.png,Depth Perception? Never Heard of Her,"Perfect for watching things that weren't filmed in 3D. Makes everything look slightly broken and headache-inducing. A metaphor, arguably."
Eyewear,Dbz Glass,121,Common,Yes,dbzglass.png,The Glass-Cannon Gadget,"Always reads ""Over 9000"" regardless of actual value. Broken since launch. Still more accurate than TA traders."
Eyewear,Eye Mask,102,Common,,eyemask.png,The Naptime Professional,Full blackout. Zero awareness. Perfect for people whose strategy is literally just waiting it out. Not dead. Just resting. Until the price recovers. It won't.
Eyewear,Eye Patch,174,Common,,eyepatch.png,"+10 to Intimidation, -50% to Depth Perception.",Forged in dim taverns by sailors who saw too much... and decided one eye was enough.
Eyewear,Flattened,135,Common,,goggles.png,The Perspective Problem,"Vision: two-dimensional. World: also now two-dimensional. Cannot perceive depth, nuance, or that maybe you should diversify your portfolio. Sees only one angle. Commits fully."
Eyewear,Gojo Satoru,60,Uncommon,Yes,gojosatoru.png,Infinity Frames,Sees six eyes where others see two. Grants 'Limitless' ability and the personality of someone who knows they're the strongest in the room and refuses to stop mentioning it.
Eyewear,Golden Glasses,71,Uncommon,,goldenglasses.png,Crypto Bro's Clarity Lenses,Everything looks like gains. Red candles look like buying opportunities. Scam projects look like early alpha. A cursed item disguised as a luxury flex.
Eyewear,Golden Monocle,48,Rare,,goldenmonocle.png,Rich Asshole Radius Detector,"+20 to 'Insufferable Snobbery.' Everything you own is ""vintage"" and ""artisanal."" Everyone you meet is beneath you."
Eyewear,Laser Glass,65,Uncommon,,laserglass.png,The Overkill Optics,"Allows you to see enemy weaknesses with a faint red glow. May occasionally fire small, harmless lasers."
Eyewear,Nerd,187,Common,,nerdglasses.png,"The ""Ackchyually"" Accessory",Can explain blockchain to disinterested strangers for hours. Dating success rate: 0.001%.
Eyewear,None,1925,Common,,,The Unshielded Gaze,"Just two delicate spheres, completely exposed. +20% vulnerability to awkward eye contact and sand."
Eyewear,Thug Life Glass,225,Common,,thuglifeglasses.png,"The ""I Won the Argument"" Shades","Worn exclusively at the moment of victory. Dropped from above, cinematically, before delivering the final line. You've been practicing this. It shows."
Eyewear,Vision Pro,45,Rare,Yes,visionpro.png,"$3,500 Mistake Manifestor",Perfect for watching your portfolio crash in 4K spatial computing. May occasionally display pop-up ads for hot singles near you.
Eyewear,White Glass,94,Uncommon,,whiteglasses.png,+100 to Fashion Over Function.,Can't see shit. Looks cool doing it.
Headwear,Afro,96,Uncommon,,afro.png,The Crown of Volume,+30 to 'Presence.' Cannot be ignored. Cannot be minimized. Defies gravity as a personality trait. Atmospheric.
Headwear,Angel Ring,32,Rare,,halo.png,Halo of Questionable Intent,Glows faintly in the presence of sinners and cheap ale. God sees your browser history.
Headwear,Arabian Robe,87,Uncommon,,arabianrobe.png,"+15 to 'Desert Survival,' -25 to 'Airport Security Clearance.'",Grants 'Sand Resistance' passive. Excellent for long journeys and dramatic reveals. Flaps impressively in the wind.
Headwear,Army Helmet,37,Rare,,armhelm.png,Simulation Veteran,Perfect for those who served in Modern Warfare 2. Zero transferable real-world skills. But the callsign was sick.
Headwear,Axe On Head,24,Epic,,axehead.png,The Self-Inflicted Buff,"+20 to Intimidation, but -1 to Intelligence. Requires frequent bandages."
Headwear,Backwards Cap,75,Uncommon,,backwardshat.png,The Reverse Intellectual,+10 to 'Skate Park Cred.' -10 to 'Parental Approval.' The brim still works. He just chose not to use it. A metaphor for his entire approach to life.
Headwear,Bandana,126,Common,,redbandana.png,The Renegade Napkin,"Multipurpose. Face covering, sweatband, flag, hostage negotiation prop. Does not grant any actual abilities. Looks capable though. That's enough."
Headwear,Blond Hair,137,Common,,lightbrownhair.png,"+10 to Approachability, -5 to Commitment.","A golden hue that couldn't decide whether to shine or sulk. Great for bros who ""used to surf once."""
Headwear,Blonde Hair,73,Uncommon,,blondehair.png,The Golden Mane,+10 to 'Charisma' but -5 to 'Stealth' (it really shines).
Headwear,Blue Cap,88,Uncommon,,bluecap.png,The Cobalt Canopy,A sophisticated way to say you're wearing a primary color as a personality trait.
Headwear,Brown Hat,76,Uncommon,,brownhat.png,The UPS Special,"Blends in perfectly with crowds of people wearing brown, offering a slight 'Brown Crowd Camouflage' bonus."
Headwear,Bucket Hat,87,Uncommon,,buckethat.png,The Fisherman,The only thing ever caught is a cold.
Headwear,Cat Ear,16,Epic,,catears.png,Floof Daggers,+10 to 'UwU Energy.'
Headwear,Chinese Hat,47,Rare,,chinesehat.png,The Raiden,Grants 'Lightning Redirection' passive. Excellent for outdoor events and standing dramatically in rain. Very aerodynamic. Surprisingly load-bearing.
Headwear,Cowboy Hat,39,Rare,,cowboyhat.png,Yee Yee,Has never ridden a horse. Has strong opinions about the frontier. Listens exclusively to country music and market cap analysis. This is the way.
Headwear,Crown,10,Legendary,,crown.png,The Royal Pain,+50 to 'Demanding Respect.' Born with it or bought it — the crown doesn't care. Neither does he. Passive ability: assumes the room is already his.
Headwear,Derby Hat,83,Uncommon,,derbyhat.png,The Charlie Chaplin Cap,Increases your chances of being mistaken for a 'Very Important Person.'
Headwear,Devil Horns,11,Epic,,devilhorns.png,Complimentary Accessories,Came with the deal. Non-refundable. +20 to 'Temptation Aura.' Nobody reads the fine print until it's far too late.
Headwear,Evil Crown,17,Epic,,evilcrown.png,+100 to Intimidation against peasants.,Periodically whispers dark suggestions. Will not stop until you've restructured the entire kingdom in its image.
Headwear,Fez,14,Epic,,fez.png,The Merchant's Topper,"Occasionally conjures small, insignificant trinkets for sale. Impresses desert traders."
Headwear,Flat Cap,85,Uncommon,,flatcap.png,Boomer Brim,+15 to 'Complaining About Youth.' Mandatory for explaining how things were better before. They weren't.
Headwear,Flat Top Hairstyle,116,Common,,flattophairstyle.png,The High-and-Tight,Requires a level and protractor to maintain. Your barber is either 60 or military. Tolerance: ±0.5mm. Respect: earned.
Headwear,Folded Brim,91,Uncommon,,foldedbrim.png,The Background Character,+8 to 'Loitering Convincingly.' Perfect for eavesdropping. Terrible for employment. Shower status: Overdue.
Headwear,Golden Bucket,18,Epic,,goldenbucket.png,It's Not Easy Being Rich,Increases gold drops from defeated enemies. Also attracts squirrels. And the IRS.
Headwear,Head Band,123,Common,,headband.png,The Aspirational Sweatband,+3 to 'Athletic Appearance.' Actual athletic ability not included. Wears it to the gym. Skips leg day.
Headwear,Headphone,72,Uncommon,Yes,headphones.png,+30 to Ignoring Reality.,May or may not have music playing. Definitely ignoring your problems either way.
Headwear,Ironman Helmet,6,Legendary,Yes,ironmanmask.png,The Billionaire Cosplay,Grants 'Suit Protocol' ability. Requires jarvis. Requires arc reactor. Requires being a billionaire genius. Two of those are not available. The helmet is though.
Headwear,Kermit Hat,37,Rare,Yes,kermithat.png,The Muppet Manager,Grants ability to sip tea judgmentally while society collapses. Sometimes the hat whispers bad financial advice.
Headwear,Mexican Hat,71,Uncommon,,mexicanhat.png,"+20 to Shade, -10 to Productivity.",Perfect for avoiding responsibility under the guise of culture. Nap time is sacred.
Headwear,Mickey Ears,7,Legendary,Yes,mickeyears.png,Litigation Launcher 3000,"+15 to 'Brand Recognition,' +100 to 'Legal Threats.' Wearing this summons attorneys faster than saying 'fair use' three times in a mirror."
Headwear,Naruto Headband,20,Epic,Yes,naruto.png,The Village Dropout,+10 to 'Running Speed' (with arms flailing behind). Allows user to speak in 'Dattebayo' dialect.
Headwear,New Idea,48,Rare,,newidea.png,Lightbulb of Inspiration,Granted 'Eureka' ability once per session. Idea quality: unverified. Patent: not filed. VC meeting: cold emailed. Ghosted.
Headwear,None,565,Common,,,The Cranial Nudist,All critical hits received are automatically headshots. Grants 'Unobstructed Thinking' but has a 10% chance to attract a Pigeon.
Headwear,Old Bucket Hat,90,Uncommon,,oldbuckethat.png,The Vintage Deterioration,+5 to 'Senility.' Found in garage. Or maybe attic. Can't remember.
Headwear,Old School Helmet,72,Uncommon,,oldschoolhelmet.png,Evil Knieval Stunt Double,Worn by someone who calculated the risk and said 'probably fine.' It was not fine. He did it anyway. Twice.
Headwear,Purple Bandana,101,Common,,purplebandana.png,Gang Affiliation Accessory,"+5 to 'Street Cred.' -50 to 'Life Expectancy.' Trevor, your suburb doesn't count as a territory. Calm down."
Headwear,Red Beanie,67,Uncommon,,redbeanie.png,The Sundance Reject,Grants access to vinyl record discussions and a chance to discover hidden coffee shops. Your screenplay will never get made.
Headwear,Russian Hat,85,Uncommon,,russianhat.png,The Ushanka Situation,"+20 to 'Cold Resistance,' +30 to 'Vodka Tolerance.' In Soviet Russia, hat wears you. To grave."
Headwear,Safety Helmet,14,Epic,,hardhat.png,OSHA's Chosen One,"Prevents brain damage, but can't prevent the brain damage you already have from buying jpegs. Hi-vis vest sold separately."
Headwear,Shark Hat,15,Epic,,sharkhat.png,Apex Accessory,+30 to 'Open Water Intimidation.' -20 to 'Being Taken Seriously On Land.' Passive: attracts everyone at the party who 'loves sharks.' You made a terrible mistake.
Headwear,Sheriff Hat,75,Uncommon,,sheriffhat.png,Jurisdiction: Unclear,Can deputize nearby NPCs for a limited time. May accidentally start a saloon brawl. (Is this actually a shower cap?)
Headwear,Slick Back Hair,154,Common,,slickbackhair.png,"The ""Used Car Salesman"" Special",Uses more gel than shampoo. Personality is also slippery. Trust fund probable.
Headwear,Spartan Helmet,9,Legendary,,spartanhelm.png,THIS. IS. LIQUIDATION.,300 warriors. One mission. Zero exit strategy. +50 to 'Dying Gloriously.' -100 to 'Tactical Retreat.' Abs mandatory. Helmet decorative.
Headwear,Split Hair,110,Common,,splithair.png,The Identity Crisis Cowlick,Half one thing. Half another. Won't commit to either. Internally conflicted. Externally: symmetrical. Therapy: scheduled.
Headwear,Top Hat,83,Uncommon,,tophat.png,The Monopoly Man's Crown,+15 to 'Deception' and 'High Society Haggling.' Comes with the unshakeable belief that other people's problems are simply a failure of ambition.
Headwear,Viking Helmet,13,Epic,,vikinghelm.png,The Drinking Buddy,+15 to 'Roar' skill. May accidentally summon a sea serpent during a storm.
Headwear,Wizard Hat,3,Legendary,,wizardhat.png,The Thinking Cap,+40 to 'Spell Power.' Still can't impress a woman.
Mouth Items,Beard,50,Rare,,beard.png,Whiskers of Wisdom & War,+15 to 'Gravitas.' Contains crumbs from at least three meals. May harbor small woodland creatures. Women find it either irresistible or deeply concerning. No middle ground.
Mouth Items,Big Mustache,33,Rare,,bigmustache.png,Porn Stache of Power,+15 to 'Charm' against maidens and old ladies. Requires daily maintenance and questionable decisions. Popular in the 70s and at dive bars.
Mouth Items,Cigarette,84,Uncommon,,smoking.png,The Slow Debuff,"Grants temporary 'Calm' effect, but applies 'Lung Debuff' over time."
Mouth Items,Gas Mask,27,Rare,,gasmask.png,Chemical Bro-fare,Immune to Poison Gas (farts) and Smog debuffs. Impedes communication slightly.
Mouth Items,Gum,93,Uncommon,,gum.png,The Minty Mystery,"Periodically grants a minor, random buff (e.g., 'Minty Fresh Breath', 'Sticky Situation Escape')."
Mouth Items,Low Beard,42,Rare,,lowbeard.png,The Chin Curtain,Just below the jaw. Very specific choice. Signals either 'I read Dostoevsky' or 'I sold a water softener to your dad.' No way to know which until it's too late.
Mouth Items,Mask,56,Uncommon,,mask.png,The Antisocial Upgrade,Removes obligation to smile at strangers. Grants 'Mystery' passive and a +10 bonus to 'People Assuming You're Interesting.' You're not. But they don't know that.
Mouth Items,Mustache,58,Uncommon,,mustache.png,The 'Stache Standard,Grants 'Instant Authority' passive. Implies either a deep commitment to the bit or a complete absence of self-awareness. Possibly both. Probably both.
Mouth Items,Ninja Mask,57,Uncommon,,ninjamask.png,The Identity Protector,Designed to ensure that anyone who sees you won't recognize you later — mostly because they'll be too busy wondering why you're wearing a ninja mask in a Starbucks.
Mouth Items,None,2510,Common,,,The Unfiltered Yap,+10 'Noise Pollution'. A basic model pie-hole for calories and unfiltered opinions. Passive ability: 'Accidental Insult' (10% chance on all dialogue).
Mouth Items,Old Wise Man Mustache,31,Rare,,oldwisemanmustache.png,Sage of Questionable Wisdom,"+20 to 'Unsolicited Life Advice.' Every sentence starts with ""Back in my day."" Isn't allowed near schools."
Mouth Items,Oni Mask,43,Rare,,onimask.png,Demonic Disguise,+40 to 'Terrifying Presence.' Culturally complex. Functionally alarming. Makes HR very uncomfortable. Annual review: pending. Mask: non-negotiable.
Mouth Items,Orc Teeth,49,Rare,,orcteeth.png,"+15 to Bite Damage, -20 to Enunciation.",Orthodontist refuses your calls. Speech impediment adds character.
Mouth Items,Pipe,70,Uncommon,,pipe.png,+5 to Pretentious Pondering.,Releases carcinogens and unwanted opinions.
Mouth Items,Smile,40,Rare,,smile.png,The Copium Grin,+5 to 'Copium Inhalation.' Still smiling while portfolio is -90%. Nobody knows if enlightened or lobotomized.
Mouth Items,Throwup,36,Rare,,vomit.png,Bodily Expression of Market Conditions,AOE damage to all nearby holders. Debuff intensifies during rug pulls and gas fee spikes. Cleanse requires touching grass.
Mouth Items,Vampire,37,Rare,,fangs.png,The Eternal Bag Holder,Has been alive for 900 years. Still bagholding. Cannot die. Cannot sell. The stake through the heart would be mercy compared to another -40% weekly candle.
